ts,val,status,severity
'2022-11-25 23:28:26.205484020',-1.461363228,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:26.106109687',-1.475359471,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:26.006480353',-1.473749269,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.906578353',-1.462541332,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.806583687',-1.462769681,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.705637020',-1.458976766,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.606662353',-1.473160896,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.506832686',-1.473227483,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.408969020',-1.477478085,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.306935686',-1.458288327,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.206685020',-1.462534207,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.107289686',-1.471731823,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:25.014357020',-1.476547726,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.906925686',-1.474553720,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.807723020',-1.464496998,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.707689020',-1.457328732,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.608040686',-1.466963818,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.507998020',-1.468868108,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.408087686',-1.474321950,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.306923353',-1.454741856,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.208325353',-1.457768803,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.107068686',-1.459486054,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:24.008374686',-1.449277297,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.908416020',-1.472417265,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.808586020',-1.466035466,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.711418353',-1.462365179,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.607518020',-1.456281512,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.507863686',-1.459180204,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.409128353',-1.455402896,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.308617020',-1.467938851,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.207709020',-1.461530757,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.107815353',-1.463918153,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:23.008770686',-1.471867684,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.909038353',-1.463578401,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.809153353',-1.466439968,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.709212019',-1.459039762,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.608925353',-1.468457357,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.509488686',-1.459203050,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.411309019',-1.452570622,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.308387019',-1.464808616,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.210057686',-1.465293927,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.110099353',-1.472322572,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:22.017947019',-1.471237916,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.910607353',-1.461086021,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.810549686',-1.462423963,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.710485019',-1.461846193,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.610692019',-1.462281288,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.510800019',-1.476894971,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.411043019',-1.465036625,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.310996353',-1.468477970,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.210808686',-1.466524397,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.110881353',-1.461536158,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:21.009814686',-1.466239894,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.911411019',-1.458599776,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.811558019',-1.469288924,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.717355686',-1.470293985,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.611648019',-1.473522815,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.511842019',-1.463994184,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.411838019',-1.465820407,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.311993353',-1.470593898,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.212381353',-1.475895649,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.112285686',-1.474470931,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:20.011582352',-1.457104653,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.912080019',-1.470784641,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.812469019',-1.468024892,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.712611019',-1.457675694,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.612818352',-1.468580269,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.512766352',-1.467838956,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.419908686',-1.459333822,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.311771019',-1.474978777,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.211970019',-1.465172062,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.112410686',-1.480880382,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:19.013538686',-1.470772200,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.913659686',-1.466269809,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.813124019',-1.473256550,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.713217019',-1.465284229,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.612782352',-1.472343184,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.513633686',-1.465148905,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.413951686',-1.462007756,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.314100686',-1.466594434,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.214113019',-1.473699364,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.114242019',-1.475997552,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:18.014435019',-1.480064706,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.914527686',-1.463862197,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.814730019',-1.476228644,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.721445019',-1.473402449,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.614960686',-1.481231953,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.515086686',-1.476148936,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.413981686',-1.462302494,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.315125019',-1.463401767,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.215162019',-1.465651832,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.114398352',-1.461682763,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:17.015448352',-1.460634470,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.915027685',-1.459949707,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.814634019',-1.465781896,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.716105685',-1.455514922,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.616215685',-1.454644251,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.516423352',-1.477436154,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.420254019',-1.469281374,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.316589685',-1.465867230,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.216713685',-1.462286575,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.116783019',-1.471460779,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:16.016822352',-1.474117635,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.916824352',-1.455039987,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.816925019',-1.462212353,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.716197685',-1.465570202,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.615803019',-1.467045023,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.516417352',-1.465453511,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.416903352',-1.469810738,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.315695019',-1.462441013,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.217299685',-1.453549841,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.120021019',-1.456207884,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:15.017364685',-1.476314882,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.917513685',-1.464437507,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.816931685',-1.472779127,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.723871352',-1.479780911,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.617462685',-1.464669729,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.516411352',-1.467035806,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.417842685',-1.471091169,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.317672352',-1.466800078,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.216834685',-1.464247782,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.117836018',-1.463989123,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:14.017454685',-1.462551851,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.917538685',-1.467997183,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.818054352',-1.471004874,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.718188018',-1.470205824,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.618238018',-1.469781784,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.518270352',-1.468859314,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.420750018',-1.483550499,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.318445352',-1.476876649,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.217424018',-1.471573003,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.118894018',-1.467341091,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:13.018731685',-1.459618041,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.918851352',-1.469059246,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.818956018',-1.471103441,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.718493352',-1.470251940,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.619004685',-1.470627206,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.519332018',-1.456606193,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.419221685',-1.468989238,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.318456018',-1.467551937,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.219677685',-1.463831801,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.119697685',-1.466524397,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:12.019654685',-1.468571419,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.919603018',-1.468176078,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.819700018',-1.472138898,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.727657018',-1.468155155,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.620105685',-1.470859117,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.520306351',-1.463872291,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.420404685',-1.474957571,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.320600685',-1.470547131,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.220393685',-1.460562821,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.120702351',-1.477909165,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:11.020519351',-1.464645045,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.921029351',-1.470689439,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.820316351',-1.464413983,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.720763685',-1.470276907,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.620925018',-1.475272243,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.521185351',-1.460707278,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.424274351',-1.463862197,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.320212018',-1.463912724,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.221413685',-1.459208733,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.121619685',-1.460452068,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:10.020865685',-1.471141103,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.921447351',-1.472933537,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.821464351',-1.468580212,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.720969685',-1.452484921,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.620742351',-1.472998145,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.521765018',-1.464913771,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.422126351',-1.470862340,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.321013018',-1.467056644,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.221892351',-1.465419779,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.124900351',-1.458181787,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:09.022404685',-1.472209642,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.921986684',-1.472767676,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.820711351',-1.473058682,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.725782684',-1.466185097,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.622651018',-1.464190328,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.522844018',-1.472636961,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.421500018',-1.464506159,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.323118351',-1.470035411,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.221852351',-1.462238790,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.123098018',-1.466073694,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:08.022703684',-1.473447717,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.922736351',-1.481325741,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.822321018',-1.467779805,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.721749684',-1.462863667,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.623287684',-1.460047623,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.522817018',-1.454510454,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.429299018',-1.452122578,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.322273018',-1.463096963,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.223416684',-1.475973830,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.122341684',-1.470986495,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:07.025178684',-1.464175314,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.923601018',-1.478733522,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.824331684',-1.458339363,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.723898018',-1.459117292,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.623830351',-1.471660570,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.523953684',-1.464620305,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.423922018',-1.471342845,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.323149351',-1.466865760,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.223717351',-1.466598307,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.127135017',-1.465935458,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:06.024246351',-1.461330571,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.924592351',-1.465371486,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.824644351',-1.475953500,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.724321684',-1.466808758,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.624983684',-1.477516398,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.525013017',-1.469189679,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.424227684',-1.465431231,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.324966351',-1.470462278,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.224951017',-1.470792614,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.124773017',-1.468699532,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:05.024902017',-1.458892676,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.925460017',-1.464212637,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.824548017',-1.464923639,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.725235017',-1.471541052,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.625419351',-1.475626415,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.525769351',-1.461917050,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.433366017',-1.471779919,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.325659351',-1.463034532,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.225473684',-1.480588217,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.125474017',-1.475395126,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:04.025566351',-1.460625337,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.925647351',-1.468161036,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.825586017',-1.466236529,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.725669684',-1.470619939,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.625620684',-1.459633282,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.525932017',-1.467026475,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.425486351',-1.460663112,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.325775684',-1.465904893,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.226011350',-1.467166012,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.127786350',-1.479143763,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:03.026133350',-1.473619827,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.925954684',-1.472483230,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.826784350',-1.469207464,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.733449017',-1.476304788,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.625210350',-1.470451477,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.526460684',-1.475270660,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.426196017',-1.471924856,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.326514017',-1.467580890,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.226720017',-1.472683615,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.126887684',-1.472122527,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:02.026945350',-1.465293616,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.926536017',-1.483014491,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.827040684',-1.472536330,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.727222017',-1.470125608,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.625916350',-1.470395379,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.527369684',-1.461368600,'NO_ALARM','NO_ALARM'
'2022-11-25 23:28:01.434086684',-1.476308153,'NO_ALARM','NO_ALARM'
